doc_id,company_name,company_aliases,security_code,doc_source_type,report_title,report_date,fiscal_year,broker_name,major_industry,language,currency,exchange,board,market_type,industry_l1,industry_l2,has_pdfcrawl_metadata,source_manifest,source_file_path,pdf_url
600101_2024_20250328,明星电力,明星电力|600101,600101,annual_report,四川明星电力股份有限公司2024年年度报告,2025-03-28,2024,,电力、热力生产和供应业,zh,CNY,上海证券交易所,沪主板,A股,电力、热力生产和供应业,电力、热力生产和供应业,true,/media/main/lgd/llm/PDFCrawl/output/top10_industries_2024_20each/manifest.csv,/media/main/lgd/llm/PDFCrawl/output/top10_industries_2024_20each/pdfs/600101/2024/600101_2024_20250328.pdf,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2025-03-28/600101_20250328_RRTM.pdf
600131_2024_20250425,国网信通,国网信通|600131,600131,annual_report,国网信息通信股份有限公司2024年年度报告,2025-04-25,2024,,软件和信息技术服务业,zh,CNY,上海证券交易所,沪主板,A股,信息技术,软件服务,true,/media/main/lgd/llm/PDFCrawl/output/top10_industries_2024_20each/manifest.csv,/media/main/lgd/llm/PDFCrawl/output/top10_industries_2024_20each/pdfs/600131/2024/600131_2024_20250425.pdf,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2025-04-25/600131_20250425_ZGCY.pdf
600149_2024_20250426,廊坊发展,廊坊发展|600149,600149,annual_report,廊坊发展股份有限公司2024年年度报告全文,2025-04-26,2024,,电力、热力生产和供应业,zh,CNY,上海证券交易所,沪主板,A股,电力、热力生产和供应业,电力、热力生产和供应业,true,/media/main/lgd/llm/PDFCrawl/output/top10_industries_2024_20each/manifest.csv,/media/main/lgd/llm/PDFCrawl/output/top10_industries_2024_20each/pdfs/600149/2024/600149_2024_20250426.pdf,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2025-04-26/600149_20250426_751L.pdf
600157_2024_20250429,永泰能源,永泰能源|600157,600157,annual_report,永泰能源集团股份有限公司2024年年度报告,2025-04-29,2024,,电力、热力生产和供应业,zh,CNY,上海证券交易所,沪主板,A股,电力、热力生产和供应业,电力、热力生产和供应业,true,/media/main/lgd/llm/PDFCrawl/output/top10_industries_2024_20each/manifest.csv,/media/main/lgd/llm/PDFCrawl/output/top10_industries_2024_20each/pdfs/600157/2024/600157_2024_20250429.pdf,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2025-04-29/600157_20250429_VUA4.pdf
600160_2024_20250425,巨化股份,巨化股份|600160,600160,annual_report,巨化股份2024年年度报告,2025-04-25,2024,,化学原料和化学制品制造业,zh,CNY,上海证券交易所,沪主板,A股,化学原料和化学制品制造业,化学原料和化学制品制造业,true,/media/main/lgd/llm/PDFCrawl/output/top10_industries_2024_20each/manifest.csv,/media/main/lgd/llm/PDFCrawl/output/top10_industries_2024_20each/pdfs/600160/2024/600160_2024_20250425.pdf,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2025-04-25/600160_20250425_M5WL.pdf
600162_2024_20250419,香江控股,香江控股|600162,600162,annual_report,香江控股2024年年度报告全文,2025-04-19,2024,,房地产业,zh,CNY,上海证券交易所,沪主板,A股,房地产业,房地产业,true,/media/main/lgd/llm/PDFCrawl/output/top10_industries_2024_20each/manifest.csv,/media/main/lgd/llm/PDFCrawl/output/top10_industries_2024_20each/pdfs/600162/2024/600162_2024_20250419.pdf,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2025-04-19/600162_20250419_I1H6.pdf
600165_2024_20250315,*ST宁科,*ST宁科|600165,600165,annual_report,*ST宁科2024年年度报告,2025-03-15,2024,,化学原料和化学制品制造业,zh,CNY,上海证券交易所,沪主板,A股,化学原料和化学制品制造业,化学原料和化学制品制造业,true,/media/main/lgd/llm/PDFCrawl/output/top10_industries_2024_20each/manifest.csv,/media/main/lgd/llm/PDFCrawl/output/top10_industries_2024_20each/pdfs/600165/2024/600165_2024_20250315.pdf,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2025-03-15/600165_20250315_GMF6.pdf
600222_2024_20250409,太龙药业,太龙药业|600222,600222,annual_report,太龙药业2024年年度报告,2025-04-09,2024,,医药制造业,zh,CNY,上海证券交易所,沪主板,A股,医药生物,医药制造,true,/media/main/lgd/llm/PDFCrawl/output/top10_industries_2024_20each/manifest.csv,/media/main/lgd/llm/PDFCrawl/output/top10_industries_2024_20each/pdfs/600222/2024/600222_2024_20250409.pdf,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2025-04-09/600222_20250409_R8ON.pdf
600223_2024_20250322,福瑞达,福瑞达|600223,600223,annual_report,鲁商福瑞达医药股份有限公司2024年年度报告,2025-03-22,2024,,化学原料和化学制品制造业,zh,CNY,上海证券交易所,沪主板,A股,化学原料和化学制品制造业,化学原料和化学制品制造业,true,/media/main/lgd/llm/PDFCrawl/output/top10_industries_2024_20each/manifest.csv,/media/main/lgd/llm/PDFCrawl/output/top10_industries_2024_20each/pdfs/600223/2024/600223_2024_20250322.pdf,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2025-03-22/600223_20250322_J3ZZ.pdf
600239_2024_20250422,云南城投,云南城投|600239,600239,annual_report,云南城投置业股份有限公司2024年年度报告,2025-04-22,2024,,房地产业,zh,CNY,上海证券交易所,沪主板,A股,房地产业,房地产业,true,/media/main/lgd/llm/PDFCrawl/output/top10_industries_2024_20each/manifest.csv,/media/main/lgd/llm/PDFCrawl/output/top10_industries_2024_20each/pdfs/600239/2024/600239_2024_20250422.pdf,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2025-04-22/600239_20250422_S0SJ.pdf
600246_2024_20250430,万通发展,万通发展|600246,600246,annual_report,2024年年度报告,2025-04-30,2024,,房地产业,zh,CNY,上海证券交易所,沪主板,A股,房地产业,房地产业,true,/media/main/lgd/llm/PDFCrawl/output/top10_industries_2024_20each/manifest.csv,/media/main/lgd/llm/PDFCrawl/output/top10_industries_2024_20each/pdfs/600246/2024/600246_2024_20250430.pdf,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2025-04-30/600246_20250430_P030.pdf
600280_2024_20250425,中央商场,中央商场|600280,600280,annual_report,南京中央商场（集团）股份有限公司2024年年度报告,2025-04-25,2024,,零售业,zh,CNY,上海证券交易所,沪主板,A股,零售业,零售业,true,/media/main/lgd/llm/PDFCrawl/output/top10_industries_2024_20each/manifest.csv,/media/main/lgd/llm/PDFCrawl/output/top10_industries_2024_20each/pdfs/600280/2024/600280_2024_20250425.pdf,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2025-04-25/600280_20250425_88RK.pdf
600303_2024_20250411,ST 曙光,ST 曙光|600303,600303,annual_report,ST曙光2024年年度报告,2025-04-11,2024,,汽车制造业,zh,CNY,上海证券交易所,沪主板,A股,汽车,汽车零部件,true,/media/main/lgd/llm/PDFCrawl/output/top10_industries_2024_20each/manifest.csv,/media/main/lgd/llm/PDFCrawl/output/top10_industries_2024_20each/pdfs/600303/2024/600303_2024_20250411.pdf,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2025-04-11/600303_20250411_G33N.pdf
600363_2024_20250429,联创光电,联创光电|600363,600363,annual_report,2024年年度报告,2025-04-29,2024,,计算机、通信和其他电子设备制造业,zh,CNY,上海证券交易所,沪主板,A股,电子,电子制造,true,/media/main/lgd/llm/PDFCrawl/output/top10_industries_2024_20each/manifest.csv,/media/main/lgd/llm/PDFCrawl/output/top10_industries_2024_20each/pdfs/600363/2024/600363_2024_20250429.pdf,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2025-04-29/600363_20250429_K7BD.pdf
600376_2024_20250423,首开股份,首开股份|600376,600376,annual_report,首开股份2024年年度报告,2025-04-23,2024,,房地产业,zh,CNY,上海证券交易所,沪主板,A股,房地产业,房地产业,true,/media/main/lgd/llm/PDFCrawl/output/top10_industries_2024_20each/manifest.csv,/media/main/lgd/llm/PDFCrawl/output/top10_industries_2024_20each/pdfs/600376/2024/600376_2024_20250423.pdf,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2025-04-23/600376_20250423_TR9O.pdf
600378_2024_20250430,昊华科技,昊华科技|600378,600378,annual_report,昊华科技2024年年度报告,2025-04-30,2024,,化学原料和化学制品制造业,zh,CNY,上海证券交易所,沪主板,A股,化学原料和化学制品制造业,化学原料和化学制品制造业,true,/media/main/lgd/llm/PDFCrawl/output/top10_industries_2024_20each/manifest.csv,/media/main/lgd/llm/PDFCrawl/output/top10_industries_2024_20each/pdfs/600378/2024/600378_2024_20250430.pdf,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2025-04-30/600378_20250430_YD2O.pdf
600383_2024_20250325,金地集团,金地集团|600383,600383,annual_report,公司2024年年度报告,2025-03-25,2024,,房地产业,zh,CNY,上海证券交易所,沪主板,A股,房地产业,房地产业,true,/media/main/lgd/llm/PDFCrawl/output/top10_industries_2024_20each/manifest.csv,/media/main/lgd/llm/PDFCrawl/output/top10_industries_2024_20each/pdfs/600383/2024/600383_2024_20250325.pdf,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2025-03-25/600383_20250325_92R6.pdf
600389_2024_20250422,江山股份,江山股份|600389,600389,annual_report,江山股份2024年年度报告,2025-04-22,2024,,化学原料和化学制品制造业,zh,CNY,上海证券交易所,沪主板,A股,化学原料和化学制品制造业,化学原料和化学制品制造业,true,/media/main/lgd/llm/PDFCrawl/output/top10_industries_2024_20each/manifest.csv,/media/main/lgd/llm/PDFCrawl/output/top10_industries_2024_20each/pdfs/600389/2024/600389_2024_20250422.pdf,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2025-04-22/600389_20250422_7HC9.pdf
600396_2024_20250425,华电辽能,华电辽能|600396,600396,annual_report,2024年年度报告,2025-04-25,2024,,电力、热力生产和供应业,zh,CNY,上海证券交易所,沪主板,A股,电力、热力生产和供应业,电力、热力生产和供应业,true,/media/main/lgd/llm/PDFCrawl/output/top10_industries_2024_20each/manifest.csv,/media/main/lgd/llm/PDFCrawl/output/top10_industries_2024_20each/pdfs/600396/2024/600396_2024_20250425.pdf,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2025-04-25/600396_20250425_3QPI.pdf
600410_2024_20250426,华胜天成,华胜天成|600410,600410,annual_report,2024年年度报告,2025-04-26,2024,,软件和信息技术服务业,zh,CNY,上海证券交易所,沪主板,A股,信息技术,软件服务,true,/media/main/lgd/llm/PDFCrawl/output/top10_industries_2024_20each/manifest.csv,/media/main/lgd/llm/PDFCrawl/output/top10_industries_2024_20each/pdfs/600410/2024/600410_2024_20250426.pdf,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2025-04-26/600410_20250426_2QQ7.pdf
600418_2024_20250329,江淮汽车,江淮汽车|600418,600418,annual_report,江淮汽车2024年年度报告,2025-03-29,2024,,汽车制造业,zh,CNY,上海证券交易所,沪主板,A股,汽车,汽车零部件,true,/media/main/lgd/llm/PDFCrawl/output/top10_industries_2024_20each/manifest.csv,/media/main/lgd/llm/PDFCrawl/output/top10_industries_2024_20each/pdfs/600418/2024/600418_2024_20250329.pdf,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2025-03-29/600418_20250329_BKXV.pdf
600426_2024_20250329,华鲁恒升,华鲁恒升|600426,600426,annual_report,华鲁恒升2024年年度报告,2025-03-29,2024,,化学原料和化学制品制造业,zh,CNY,上海证券交易所,沪主板,A股,化学原料和化学制品制造业,化学原料和化学制品制造业,true,/media/main/lgd/llm/PDFCrawl/output/top10_industries_2024_20each/manifest.csv,/media/main/lgd/llm/PDFCrawl/output/top10_industries_2024_20each/pdfs/600426/2024/600426_2024_20250329.pdf,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2025-03-29/600426_20250329_L18P.pdf
600479_2024_20250429,千金药业,千金药业|600479,600479,annual_report,千金药业2024年年度报告,2025-04-29,2024,,医药制造业,zh,CNY,上海证券交易所,沪主板,A股,医药生物,医药制造,true,/media/main/lgd/llm/PDFCrawl/output/top10_industries_2024_20each/manifest.csv,/media/main/lgd/llm/PDFCrawl/output/top10_industries_2024_20each/pdfs/600479/2024/600479_2024_20250429.pdf,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2025-04-29/600479_20250429_E43F.pdf
600486_2024_20250325,扬农化工,扬农化工|600486,600486,annual_report,2024年年度报告,2025-03-25,2024,,化学原料和化学制品制造业,zh,CNY,上海证券交易所,沪主板,A股,化学原料和化学制品制造业,化学原料和化学制品制造业,true,/media/main/lgd/llm/PDFCrawl/output/top10_industries_2024_20each/manifest.csv,/media/main/lgd/llm/PDFCrawl/output/top10_industries_2024_20each/pdfs/600486/2024/600486_2024_20250325.pdf,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2025-03-25/600486_20250325_1CQJ.pdf
600488_2024_20250327,津药药业,津药药业|600488,600488,annual_report,津药药业股份有限公司2024年年度报告,2025-03-27,2024,,医药制造业,zh,CNY,上海证券交易所,沪主板,A股,医药生物,医药制造,true,/media/main/lgd/llm/PDFCrawl/output/top10_industries_2024_20each/manifest.csv,/media/main/lgd/llm/PDFCrawl/output/top10_industries_2024_20each/pdfs/600488/2024/600488_2024_20250327.pdf,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2025-03-27/600488_20250327_GBG5.pdf
600503_2024_20250426,华丽家族,华丽家族|600503,600503,annual_report,华丽家族股份有限公司2024年年度报告,2025-04-26,2024,,房地产业,zh,CNY,上海证券交易所,沪主板,A股,房地产业,房地产业,true,/media/main/lgd/llm/PDFCrawl/output/top10_industries_2024_20each/manifest.csv,/media/main/lgd/llm/PDFCrawl/output/top10_industries_2024_20each/pdfs/600503/2024/600503_2024_20250426.pdf,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2025-04-26/600503_20250426_DZO7.pdf
600515_2024_20250415,海南机场,海南机场|600515,600515,annual_report,海南机场设施股份有限公司2024年年度报告,2025-04-15,2024,,房地产业,zh,CNY,上海证券交易所,沪主板,A股,房地产业,房地产业,true,/media/main/lgd/llm/PDFCrawl/output/top10_industries_2024_20each/manifest.csv,/media/main/lgd/llm/PDFCrawl/output/top10_industries_2024_20each/pdfs/600515/2024/600515_2024_20250415.pdf,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2025-04-15/600515_20250415_2I0F.pdf
600518_2024_20250419,康美药业,康美药业|600518,600518,annual_report,康美药业2024年年度报告,2025-04-19,2024,,医药制造业,zh,CNY,上海证券交易所,沪主板,A股,医药生物,医药制造,true,/media/main/lgd/llm/PDFCrawl/output/top10_industries_2024_20each/manifest.csv,/media/main/lgd/llm/PDFCrawl/output/top10_industries_2024_20each/pdfs/600518/2024/600518_2024_20250419.pdf,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2025-04-19/600518_20250419_Q9W4.pdf
600526_2024_20250422,菲达环保,菲达环保|600526,600526,annual_report,浙江菲达环保科技股份有限公司2024年年度报告,2025-04-22,2024,,专用设备制造业,zh,CNY,上海证券交易所,沪主板,A股,专用设备制造业,专用设备制造业,true,/media/main/lgd/llm/PDFCrawl/output/top10_industries_2024_20each/manifest.csv,/media/main/lgd/llm/PDFCrawl/output/top10_industries_2024_20each/pdfs/600526/2024/600526_2024_20250422.pdf,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2025-04-22/600526_20250422_3ILK.pdf
600539_2024_20250426,狮头股份,狮头股份|600539,600539,annual_report,2024年年度报告,2025-04-26,2024,,零售业,zh,CNY,上海证券交易所,沪主板,A股,零售业,零售业,true,/media/main/lgd/llm/PDFCrawl/output/top10_industries_2024_20each/manifest.csv,/media/main/lgd/llm/PDFCrawl/output/top10_industries_2024_20each/pdfs/600539/2024/600539_2024_20250426.pdf,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2025-04-26/600539_20250426_3TXL.pdf
600587_2024_20250430,新华医疗,新华医疗|600587,600587,annual_report,新华医疗2024年年度报告,2025-04-30,2024,,专用设备制造业,zh,CNY,上海证券交易所,沪主板,A股,专用设备制造业,专用设备制造业,true,/media/main/lgd/llm/PDFCrawl/output/top10_industries_2024_20each/manifest.csv,/media/main/lgd/llm/PDFCrawl/output/top10_industries_2024_20each/pdfs/600587/2024/600587_2024_20250430.pdf,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2025-04-30/600587_20250430_5X67.pdf
600622_2024_20250430,光大嘉宝,光大嘉宝|600622,600622,annual_report,光大嘉宝股份有限公司2024年年度报告,2025-04-30,2024,,房地产业,zh,CNY,上海证券交易所,沪主板,A股,房地产业,房地产业,true,/media/main/lgd/llm/PDFCrawl/output/top10_industries_2024_20each/manifest.csv,/media/main/lgd/llm/PDFCrawl/output/top10_industries_2024_20each/pdfs/600622/2024/600622_2024_20250430.pdf,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2025-04-30/600622_20250430_OEZ7.pdf
600649_2024_20250329,城投控股,城投控股|600649,600649,annual_report,上海城投控股股份有限公司2024年年度报告,2025-03-29,2024,,房地产业,zh,CNY,上海证券交易所,沪主板,A股,房地产业,房地产业,true,/media/main/lgd/llm/PDFCrawl/output/top10_industries_2024_20each/manifest.csv,/media/main/lgd/llm/PDFCrawl/output/top10_industries_2024_20each/pdfs/600649/2024/600649_2024_20250329.pdf,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2025-03-29/600649_20250329_H1UR.pdf
600655_2024_20250325,豫园股份,豫园股份|600655,600655,annual_report,上海豫园旅游商城（集团）股份有限公司2024年年度报告,2025-03-25,2024,,零售业,zh,CNY,上海证券交易所,沪主板,A股,零售业,零售业,true,/media/main/lgd/llm/PDFCrawl/output/top10_industries_2024_20each/manifest.csv,/media/main/lgd/llm/PDFCrawl/output/top10_industries_2024_20each/pdfs/600655/2024/600655_2024_20250325.pdf,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2025-03-25/600655_20250325_JKUP.pdf
600665_2024_20250430,天地源,天地源|600665,600665,annual_report,天地源股份有限公司2024年年度报告,2025-04-30,2024,,房地产业,zh,CNY,上海证券交易所,沪主板,A股,房地产业,房地产业,true,/media/main/lgd/llm/PDFCrawl/output/top10_industries_2024_20each/manifest.csv,/media/main/lgd/llm/PDFCrawl/output/top10_industries_2024_20each/pdfs/600665/2024/600665_2024_20250430.pdf,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2025-04-30/600665_20250430_N497.pdf
600674_2024_20250412,川投能源,川投能源|600674,600674,annual_report,四川川投能源股份有限公司2024年年度报告,2025-04-12,2024,,电力、热力生产和供应业,zh,CNY,上海证券交易所,沪主板,A股,电力、热力生产和供应业,电力、热力生产和供应业,true,/media/main/lgd/llm/PDFCrawl/output/top10_industries_2024_20each/manifest.csv,/media/main/lgd/llm/PDFCrawl/output/top10_industries_2024_20each/pdfs/600674/2024/600674_2024_20250412.pdf,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2025-04-12/600674_20250412_FGV5.pdf
600675_2024_20250417,中华企业,中华企业|600675,600675,annual_report,中华企业股份有限公司2024年年度报告,2025-04-17,2024,,房地产业,zh,CNY,上海证券交易所,沪主板,A股,房地产业,房地产业,true,/media/main/lgd/llm/PDFCrawl/output/top10_industries_2024_20each/manifest.csv,/media/main/lgd/llm/PDFCrawl/output/top10_industries_2024_20each/pdfs/600675/2024/600675_2024_20250417.pdf,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2025-04-17/600675_20250417_PAGL.pdf
600683_2024_20250401,京投发展,京投发展|600683,600683,annual_report,京投发展股份有限公司2024年年度报告,2025-04-01,2024,,房地产业,zh,CNY,上海证券交易所,沪主板,A股,房地产业,房地产业,true,/media/main/lgd/llm/PDFCrawl/output/top10_industries_2024_20each/manifest.csv,/media/main/lgd/llm/PDFCrawl/output/top10_industries_2024_20each/pdfs/600683/2024/600683_2024_20250401.pdf,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2025-04-01/600683_20250401_4TE4.pdf
600684_2024_20250402,珠江股份,珠江股份|600684,600684,annual_report,2024年年度报告,2025-04-02,2024,,房地产业,zh,CNY,上海证券交易所,沪主板,A股,房地产业,房地产业,true,/media/main/lgd/llm/PDFCrawl/output/top10_industries_2024_20each/manifest.csv,/media/main/lgd/llm/PDFCrawl/output/top10_industries_2024_20each/pdfs/600684/2024/600684_2024_20250402.pdf,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2025-04-02/600684_20250402_2WW7.pdf
600697_2024_20250417,欧亚集团,欧亚集团|600697,600697,annual_report,长春欧亚集团股份有限公司2024年年度报告,2025-04-17,2024,,零售业,zh,CNY,上海证券交易所,沪主板,A股,零售业,零售业,true,/media/main/lgd/llm/PDFCrawl/output/top10_industries_2024_20each/manifest.csv,/media/main/lgd/llm/PDFCrawl/output/top10_industries_2024_20each/pdfs/600697/2024/600697_2024_20250417.pdf,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2025-04-17/600697_20250417_236V.pdf
600712_2024_20250328,南宁百货,南宁百货|600712,600712,annual_report,南宁百货大楼股份有限公司2024年年度报告,2025-03-28,2024,,零售业,zh,CNY,上海证券交易所,沪主板,A股,零售业,零售业,true,/media/main/lgd/llm/PDFCrawl/output/top10_industries_2024_20each/manifest.csv,/media/main/lgd/llm/PDFCrawl/output/top10_industries_2024_20each/pdfs/600712/2024/600712_2024_20250328.pdf,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2025-03-28/600712_20250328_5U9D.pdf
600714_2024_20250411,金瑞矿业,金瑞矿业|600714,600714,annual_report,青海金瑞矿业发展股份有限公司2024年年度报告,2025-04-11,2024,,化学原料和化学制品制造业,zh,CNY,上海证券交易所,沪主板,A股,化学原料和化学制品制造业,化学原料和化学制品制造业,true,/media/main/lgd/llm/PDFCrawl/output/top10_industries_2024_20each/manifest.csv,/media/main/lgd/llm/PDFCrawl/output/top10_industries_2024_20each/pdfs/600714/2024/600714_2024_20250411.pdf,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2025-04-11/600714_20250411_LNHO.pdf
